first_name,last_name,email,sold_at,make,model,value
Rebecca,Richardson,rrichardson@yahoo.com,2019-04-04T21:01:55.799+04:00,Chevrolet,Camaro,37589.05487
Alexis,Lopez,alexism@hotmail.com,2013-03-26T22:13:08.103+04:00,Mitsubishi,Expo,2711.744277
William,Lopez,william_s_lopez@hotmail.com,2021-11-20T20:55:56.000+04:00,FIAT,500,19795.87134
Anna,King,annaking@hotmail.com,2018-10-10T09:39:14.712+04:00,Chevrolet,Astro Passenger,17358.64837
Dylan,Bennett,dylan.bennett@yahoo.com,2017-06-01T15:58:15.917+04:00,Chevrolet,Silverado 3500 HD Extended Cab,37010.52268
Claire,Jones,cjones34@yahoo.com,2013-04-30T22:33:01.583+04:00,Ford,Econoline E150 Cargo,4017.106088
Sofia,Carter,sofia_carter@live.com,2012-08-31T02:37:06.880+04:00,Chevrolet,Volt,42290.00408
Oliver,Davis,oliver_a@gmail.com,2015-11-19T05:19:20.009+04:00,Rolls-Royce,Phantom,19924.2519
Austin,Jackson,austin.jackson@yahoo.com,2017-07-27T08:57:10.635+04:00,Subaru,Outback,38840.18049
Eric,Ross,eross@live.com,2014-01-20T13:40:28.001+04:00,Porsche,911,576.5180648
Heather,Hall,h_d_hall@ymail.com,2014-04-28T12:50:24.218+04:00,Acura,Integra,5029.326597
Katherine,Martin,k_f_martin@yahoo.com,2020-08-23T20:58:30.515+04:00,Toyota,Celica,7636.821547
Allison,Hernandez,allison.hernandez@ymail.com,2016-09-20T14:35:09.693+04:00,MINI,Coupe,3418.626109
James,Robinson,james_l_robinson@hotmail.com,2017-01-22T12:00:09.743+04:00,Cadillac,CTS,28244.96113
Olivia,Richardson,o.richardson@rocketmail.com,2011-04-23T02:47:18.820+04:00,Porsche,Cayenne,18693.77357
Kyle,Long,k_j_long@hotmail.com,2019-07-15T20:38:51.877+04:00,Toyota,Land Cruiser,69010.27322
Lillian,Hill,l_hill@live.com,2021-06-30T10:39:41.101+04:00,Lamborghini,Murcielago,38994.90273
Julian,Anderson,julian@outlook.com,2020-08-10T02:04:58.318+04:00,BMW,4 Series,41145.51917
Jeremy,Green,jeremywilliamgreen@ymail.com,2022-09-04T18:23:51.974+04:00,Chevrolet,Silverado 3500 Regular Cab,17128.89485
Jack,Moore,j.j.moore@live.com,2021-08-16T16:19:24.771+04:00,Suzuki,XL-7,3243.083392
Christopher,Thomas,cthomas@rocketmail.com,2016-10-10T20:05:11.798+04:00,Audi,Q5,23244.72291
Sean,Turner,sean@rocketmail.com,2018-07-31T10:43:47.555+04:00,Chevrolet,Silverado (Classic) 1500 HD Crew Cab,27928.51794
Samantha,Hernandez,samantha.l.hernandez@yahoo.com,2018-04-20T10:28:52.170+04:00,Toyota,Tacoma Regular Cab,43943.16383
Ryan,Thompson,ryanthompson@rocketmail.com,2017-12-26T18:15:08.445+04:00,Dodge,Ram 2500 Mega Cab,14707.45601
Eleanor,Roberts,e_m_roberts@gmail.com,2011-04-16T14:39:54.410+04:00,Ford,Crown Victoria,66797.44737
Brianna,Green,b_j@live.com,2014-10-17T06:52:38.213+04:00,Geo,Tracker,10417.30327
Katherine,Evans,k_evans@outlook.com,2020-05-19T13:38:39.799+04:00,Ford,F150 Regular Cab,14488.79071
Anna,Bailey,anna.r.bailey@hotmail.com,2018-04-19T09:29:56.285+04:00,Audi,A6,25102.95388
Amelia,Jackson,amelia_jackson@gmail.com,2016-02-15T01:00:06.130+04:00,Jeep,Cherokee,78669.72068
Tiffany,Perry,t_d_perry46@yahoo.com,2019-01-03T14:28:42.848+04:00,Chevrolet,TrailBlazer,53172.82538
Oliver,Williams,o.w.williams59@gmail.com,2022-09-28T22:11:37.614+04:00,INFINITI,QX60,60456.01401
John,Martinez,j_e_martinez@live.com,2021-08-09T10:33:12.670+04:00,Lincoln,MKS,48885.86519
Grace,Coleman,g.m.coleman@aol.com,2013-10-02T21:59:04.764+04:00,Ford,F350 Super Duty Super Cab,29128.31974
Eric,Lee,e.lee@gmail.com,2012-10-16T16:47:42.615+04:00,Pontiac,Montana,6766.506003
Grace,Griffin,gracegriffin@gmail.com,2019-08-25T06:51:34.585+04:00,Mercedes-Benz,E-Class,30627.24169
Isaac,Powell,isaac_a_powell@live.com,2016-08-09T16:59:47.867+04:00,Ford,Taurus,10760.22255
James,Cox,j_cox@rocketmail.com,2013-07-03T09:22:38.014+04:00,GMC,Rally Wagon G2500,11878.42551
Kevin,Ward,k.ward@yahoo.com,2014-05-04T22:16:49.871+04:00,Nissan,240SX,64213.99188
Kyle,Perez,kylejosephperez@hotmail.com,2012-07-11T00:33:01.803+04:00,Subaru,Legacy,27398.88467
Emma,Morgan,emma.morgan@live.com,2014-10-24T15:59:43.264+04:00,BMW,Z4,2101.976056
Sofia,Moore,s_moore@yahoo.com,2016-01-11T13:19:31.012+04:00,BMW,6 Series,10410.41066
Victoria,Washington,victoria_washington@outlook.com,2015-06-17T06:20:36.052+04:00,Toyota,Corolla iM,827.6903706
Benjamin,Jenkins,b_r_jenkins18@outlook.com,2021-12-20T03:59:59.652+04:00,Toyota,Tundra Access Cab,50741.56166
Justin,Butler,j_a_butler@aol.com,2014-09-05T14:22:17.477+04:00,Maserati,Quattroporte,7032.501952
Dylan,Jackson,d.jackson14@hotmail.com,2011-03-26T00:07:56.630+04:00,Alfa Romeo,164,23480.76674
Kelsey,Bell,kelseylbell@ymail.com,2020-08-13T21:45:51.476+04:00,GMC,Sonoma Crew Cab,20755.65414
Adam,Ward,a.j.ward@ymail.com,2021-11-19T21:40:21.134+04:00,Ford,E350 Super Duty Cargo,23412.14685
Tiffany,Long,tiffany@gmail.com,2019-03-05T06:00:20.285+04:00,GMC,Vandura G3500,73495.067
Richard,Phillips,r.phillips34@aol.com,2011-10-29T17:17:25.092+04:00,MAZDA,B-Series Cab Plus,7750.535326
Christopher,Hughes,c.a@aol.com,2021-11-11T19:20:28.019+04:00,Nissan,NV200 Taxi,20607.43481
Elizabeth,Taylor,elizabeth.kay.taylor@aol.com,2020-09-03T09:47:29.671+04:00,Maserati,GranTurismo,14800.93421
Kimberly,Williams,kawilliams@rocketmail.com,2015-11-26T00:57:10.532+04:00,Chrysler,Prowler,3386.015735
Samuel,Williams,sm@ymail.com,2010-12-15T12:40:59.100+04:00,Ford,F350 Super Duty Crew Cab,14309.33022
Andrew,Patterson,awpatterson58@rocketmail.com,2013-08-24T10:48:56.124+04:00,Chevrolet,Express 3500 Passenger,7300.358131
Emma,Williams,ewilliams@outlook.com,2016-03-29T21:05:43.186+04:00,Honda,Passport,3957.558652
Kelsey,Rivera,k.i.rivera@hotmail.com,2014-12-19T16:54:02.696+04:00,Ram,ProMaster City,17141.39882
Alexis,Cooper,alexis.cooper@yahoo.com,2017-04-05T15:57:27.161+04:00,BMW,M3,33707.69864
Jason,Parker,jason.a.parker@gmail.com,2020-01-05T09:04:12.209+04:00,BMW,5 Series,6751.647376
Richard,Russell,r.l.russell@rocketmail.com,2014-01-10T15:12:45.907+04:00,INFINITI,J,23969.99577
Victoria,Cooper,victoria_jane@gmail.com,2020-04-09T07:31:49.138+04:00,GMC,Terrain,41137.19749
Jennifer,Adams,j.f@live.com,2016-03-09T04:08:29.582+04:00,Scion,iQ,3604.81804
Alexandra,Hall,a.l.hall@outlook.com,2013-10-17T13:27:46.173+04:00,Porsche,928,13134.79984
Charles,Ramirez,charles_c_ramirez7@ymail.com,2012-08-13T10:27:01.998+04:00,Lincoln,MKX,29670.11597
Sebastian,Allen,sebastian.allen@yahoo.com,2021-09-23T08:27:12.449+04:00,Toyota,Prius c,85594.71366
Sara,Ross,sara_ross@live.com,2017-11-18T15:33:45.001+04:00,Nissan,Sentra,29301.62718
Brian,Watson,brian_watson@aol.com,2014-02-08T23:09:43.881+04:00,GMC,Yukon XL 2500,305.5414545
Evelyn,Martin,e_martin@outlook.com,2016-02-18T19:46:25.508+04:00,Chevrolet,Silverado 1500 Crew Cab,34796.18693
Lauren,King,lauren_n_king14@aol.com,2016-08-21T21:18:42.851+04:00,Pontiac,Aztek,15510.36029
Maria,Morgan,mmorgan@live.com,2020-04-17T00:07:41.491+04:00,Lincoln,Town Car,26470.78486
Anna,Robinson,anna.l.robinson@aol.com,2017-12-19T05:18:24.675+04:00,Jeep,Compass,55518.56507
Kelsey,Moore,kfmoore@gmail.com,2017-02-24T06:54:42.643+04:00,Chevrolet,Tahoe,5177.482333
Kayla,Murphy,krmurphy@aol.com,2010-03-01T05:16:07.230+04:00,Nissan,Sentra,52135.93444
Natalie,Hall,n_hall@outlook.com,2014-01-08T20:58:20.767+04:00,Chevrolet,1500 Regular Cab,12496.5329
Joshua,Ross,joshua_joseph@aol.com,2011-06-19T01:25:09.020+04:00,Nissan,Maxima,363.291277
Jennifer,Moore,jmoore@gmail.com,2018-03-30T23:20:46.894+04:00,Lexus,ES,36390.81388
Erin,Morgan,erin.morgan@ymail.com,2015-09-10T23:00:00.710+04:00,Mercedes-Benz,E-Class,18469.22856
Nicole,Hughes,nicolehughes@rocketmail.com,2014-04-16T07:44:08.110+04:00,Toyota,Supra,21378.67334
Alexander,Wilson,alexander_wilson89@yahoo.com,2022-01-16T02:01:43.087+04:00,Lexus,LX,3815.957825
Joshua,Jones,joshua.jones42@gmail.com,2020-03-29T21:05:18.878+04:00,Buick,Regal,1679.8049
Ava,Smith,alsmith@ymail.com,2012-08-17T09:07:35.459+04:00,Ford,E150 Passenger,44700.26234
Richard,Griffin,richard.lee.griffin@ymail.com,2012-05-06T15:27:51.188+04:00,Mercury,Grand Marquis,38525.4099
Samuel,Richardson,serichardson@live.com,2016-10-13T13:08:46.211+04:00,Suzuki,Equator Extended Cab,3293.537384
Stephanie,Lopez,s_m_lopez@rocketmail.com,2020-08-23T20:47:30.871+04:00,MAZDA,CX-9,28655.31367
Emma,Clark,emma_r_clark74@yahoo.com,2018-06-13T16:47:15.437+04:00,Toyota,Prius v,28908.68304
Christopher,Murphy,c_murphy@gmail.com,2016-05-23T22:12:00.515+04:00,Plymouth,Breeze,64239.23108
Timothy,Roberts,timothy@live.com,2010-05-12T09:50:20.852+04:00,BMW,7 Series,72587.93238
Alyssa,Allen,alyssaanneallen@aol.com,2015-08-09T05:05:14.170+04:00,Nissan,TITAN XD King Cab,35701.90672
Megan,Roberts,megan.mae.roberts97@rocketmail.com,2019-07-30T11:33:51.224+04:00,Mercury,Mystique,1939.272049
Stephanie,Powell,s.powell@rocketmail.com,2018-07-23T02:05:50.144+04:00,HUMMER,H2,22630.69514
Alexandra,Peterson,apeterson@rocketmail.com,2022-04-09T06:21:19.751+04:00,GMC,Sierra 1500 Double Cab,6153.60073
Oliver,Rogers,o.rogers@outlook.com,2018-11-16T16:24:56.036+04:00,Audi,Cabriolet,22370.21612
Robert,Bryant,rwbryant@rocketmail.com,2013-12-16T17:40:28.487+04:00,GMC,Rally Wagon 3500,12801.34536
Ethan,Richardson,ethan@gmail.com,2016-09-30T16:57:20.379+04:00,Chevrolet,Astro Cargo,7607.346597
Rebecca,Cooper,rebeccacooper@hotmail.com,2014-01-18T03:51:22.703+04:00,Volvo,XC60,13844.45901
Amelia,Nelson,amnelson@gmail.com,2019-04-14T06:51:19.801+04:00,Chevrolet,Corvette,43381.53382
Audrey,Adams,a.adams@live.com,2013-09-09T15:28:29.198+04:00,Chrysler,Pacifica,72414.89815
Isabella,Adams,isabella_sue@gmail.com,2015-09-19T06:06:50.367+04:00,Mercedes-Benz,Sprinter 2500 Passenger,7171.806629
Matthew,Price,matthewprice@ymail.com,2010-07-11T09:21:39.660+04:00,Chevrolet,S10 Regular Cab,58155.26283
Maria,Gray,maria.gray92@ymail.com,2018-10-01T01:50:23.761+04:00,BMW,7 Series,19208.93161
Nicholas,Kelly,nicholas.kelly@live.com,2017-03-05T09:33:45.664+04:00,Ford,F350 Super Duty Regular Cab,11851.37101
Jack,Cooper,jackallen@outlook.com,2010-01-16T05:14:19.906+04:00,Mercury,Mystique,24814.77292
Maria,Hall,mariahall@live.com,2010-07-19T22:36:24.050+04:00,Suzuki,Grand Vitara,64860.08986
Aubrey,Mitchell,aubrey_m@outlook.com,2022-03-08T06:43:46.049+04:00,Ford,GT,65312.00564
Mark,Perez,mark@rocketmail.com,2014-06-16T16:04:25.067+04:00,Chevrolet,1500 Extended Cab,19737.44423
Sarah,Sanchez,sarah_a_sanchez@live.com,2019-04-15T05:07:36.150+04:00,Chevrolet,G-Series G30,8005.195478
Ryan,Henderson,r_henderson@aol.com,2014-07-25T07:40:41.798+04:00,Buick,Enclave,421.8960415
Stephanie,Stewart,stephanieruth@ymail.com,2015-03-03T04:02:46.999+04:00,Nissan,240SX,35959.58123
Isaac,Watson,iwatson@live.com,2019-03-06T20:18:42.796+04:00,Eagle,Vision,63066.87226
Allison,Ward,allison_m_ward@ymail.com,2011-11-19T01:52:06.057+04:00,Dodge,Ram 3500 Regular Cab,34787.22632
Theodore,James,t_james84@outlook.com,2016-04-11T07:51:33.177+04:00,GMC,1500 Club Coupe,37174.34565
John,Hall,jahall@gmail.com,2012-12-31T01:25:23.352+04:00,GMC,Sonoma Regular Cab,10541.86761
Amanda,Bell,amandarbell41@hotmail.com,2010-09-04T12:04:41.664+04:00,Nissan,Kicks,33655.58275
Eric,Griffin,egriffin66@hotmail.com,2020-10-10T04:02:00.257+04:00,Ford,Ranger Regular Cab,16800.27348
Mark,Hayes,m_w_hayes@live.com,2016-01-19T00:27:20.484+04:00,Chevrolet,Colorado Extended Cab,29207.78586
Charlotte,Barnes,charlottebarnes@hotmail.com,2011-03-28T14:06:40.400+04:00,Mercedes-Benz,A-Class,31161.80698
Isabella,Baker,ibaker@ymail.com,2019-10-23T19:01:50.079+04:00,MAZDA,MX-5 Miata RF,4388.645988
Joshua,Martin,j.c.martin@yahoo.com,2022-04-19T09:02:08.839+04:00,Chevrolet,Colorado Extended Cab,30012.67422
Allison,Bennett,allisonbennett53@ymail.com,2013-02-19T01:03:14.496+04:00,Toyota,Highlander Hybrid,23104.19555
Nathan,Flores,nathanflores@yahoo.com,2020-02-03T19:27:02.602+04:00,Porsche,Boxster,6003.764584
Robert,Coleman,robert.joseph.coleman@ymail.com,2022-09-28T08:17:10.644+04:00,MAZDA,CX-9,7801.309819
Brianna,Washington,brianna_washington@yahoo.com,2011-04-14T03:41:23.703+04:00,Chrysler,New Yorker,8933.635999
Kimberly,Ward,k_r_ward@yahoo.com,2013-01-31T16:48:37.742+04:00,Hyundai,Santa Fe Sport,83823.95201
Mark,Wright,m.wright@live.com,2017-12-15T19:41:23.286+04:00,Ford,Fiesta,26618.2257
Nathan,Barnes,n.barnes@rocketmail.com,2014-07-17T02:55:05.762+04:00,GMC,Terrain,48192.73233
Eleanor,Evans,e_evans22@outlook.com,2011-01-19T09:44:09.531+04:00,Audi,Q7,21610.74348
Claire,Flores,claire_flores@gmail.com,2012-07-18T08:31:01.613+04:00,Honda,S2000,23828.09452
Jeremy,Diaz,j_a_diaz@hotmail.com,2010-08-07T07:14:18.447+04:00,Jeep,Liberty,17814.32132
Michael,Jenkins,michael@live.com,2021-01-25T04:23:06.054+04:00,Ford,Focus,8965.78786
Aubrey,Lee,arlee@hotmail.com,2020-01-27T11:37:04.616+04:00,MAZDA,MAZDA6,7651.786504
Jasmine,Watson,j.watson@yahoo.com,2020-07-16T19:27:15.917+04:00,GMC,Sierra 1500 Extended Cab,13696.49788
Kyle,Robinson,kmrobinson@ymail.com,2019-09-29T08:30:32.377+04:00,Audi,100,31007.37219
Hannah,Rivera,hannah_m_rivera@rocketmail.com,2014-12-06T16:34:37.793+04:00,Honda,S2000,8447.323362
Emily,Jones,emilyjones@outlook.com,2019-08-02T12:39:20.013+04:00,Acura,Integra,43070.32006
Megan,Walker,m_walker72@ymail.com,2014-11-18T04:43:19.668+04:00,Kia,Niro Plug-in Hybrid,5514.318102
Patrick,Patterson,p.patterson@hotmail.com,2022-08-01T05:37:13.507+04:00,Cadillac,ATS,1590.542722
Theodore,Bell,tcbell95@yahoo.com,2010-10-16T01:04:38.554+04:00,BMW,7 Series,10294.82764
Brianna,Ward,b_ward93@rocketmail.com,2014-10-21T22:22:46.829+04:00,Lincoln,MKZ,4408.774899
Thomas,Russell,thomas.russell28@live.com,2010-10-27T07:57:51.384+04:00,Jeep,Grand Cherokee,22773.25874
Mateo,Perry,mateo_perry23@rocketmail.com,2012-04-30T00:32:25.674+04:00,Buick,LeSabre,80566.01531
Brittany,Price,b.n.price46@yahoo.com,2021-02-28T05:24:32.541+04:00,GMC,Sierra 2500 Crew Cab,19026.32258
Charles,Davis,charles.davis@live.com,2010-06-09T20:08:32.279+04:00,Nissan,Pathfinder,28614.95551
Isaac,Hall,isaac_george_hall@gmail.com,2013-05-18T22:12:12.520+04:00,Ford,F150 Super Cab,73005.23662
Joshua,Gray,joshuagray@outlook.com,2010-07-24T04:21:42.317+04:00,Chevrolet,Avalanche,25835.48959
Benjamin,James,b_e_james71@live.com,2016-09-26T19:40:23.481+04:00,Scion,tC,44611.3564
Victoria,Mitchell,victoria.a.mitchell76@ymail.com,2013-05-28T12:05:16.929+04:00,Saturn,Astra,15944.41689
Emily,Sanders,emily@hotmail.com,2021-08-28T15:45:40.824+04:00,Toyota,Highlander,77256.96308
Timothy,Perez,timothy.h.perez@ymail.com,2022-01-15T17:50:30.067+04:00,GMC,Savana 3500 Passenger,24400.38171
Robert,Perry,robert.j.perry@aol.com,2010-12-01T20:18:02.389+04:00,Acura,CL,9435.432619
Brian,Washington,b.washington@gmail.com,2021-10-07T00:51:40.653+04:00,Nissan,Altima,18044.48039
Emma,Peterson,e.peterson@rocketmail.com,2014-09-06T10:26:09.656+04:00,Land Rover,Range Rover,8841.172164
Natalie,Wright,n_wright@hotmail.com,2015-08-19T13:37:50.175+04:00,Honda,Accord,29.7466178
Julian,Hill,j.hill@ymail.com,2021-09-14T08:58:48.414+04:00,Ford,F150 Super Cab,3031.441672
Jessica,Wright,jessica.g.wright@gmail.com,2019-08-02T03:39:23.781+04:00,Saturn,S-Series,68974.07994
Aubrey,Murphy,aubrey_murphy@outlook.com,2019-08-30T16:09:37.942+04:00,MINI,Roadster,10577.72591
Stephanie,Alexander,s.alexander32@hotmail.com,2016-05-05T08:46:41.845+04:00,Ford,Excursion,37712.12455
Olivia,Phillips,o.e.phillips@live.com,2022-04-11T10:35:18.514+04:00,Nissan,Versa,75955.12756
Ryan,Johnson,r.s.johnson30@rocketmail.com,2016-03-10T11:39:12.113+04:00,Dodge,Intrepid,5680.007211
Aiden,Jenkins,a_jenkins@rocketmail.com,2015-06-19T10:32:37.233+04:00,Geo,Tracker,3549.67055
David,Walker,david.a.walker59@aol.com,2020-06-09T23:10:10.901+04:00,Land Rover,Range Rover Evoque,75304.8525
Joshua,Washington,joshuawashington@outlook.com,2022-07-27T13:50:24.552+04:00,Dodge,Viper,35628.12228
Emily,Russell,emily.k.russell57@outlook.com,2010-05-06T08:42:33.530+04:00,Chevrolet,Colorado Crew Cab,26071.37906
Nicole,Ramirez,nramirez@ymail.com,2015-08-09T10:30:33.452+04:00,Lincoln,Continental,15728.56268
Samantha,Green,s.m@gmail.com,2012-01-23T15:39:17.749+04:00,GMC,Savana 3500 Cargo,76184.69858
Chelsea,Thompson,c.thompson14@live.com,2019-08-22T06:23:29.745+04:00,Volvo,V90,15350.44331
Anthony,Moore,anthony_moore@gmail.com,2020-07-18T03:24:51.662+04:00,MAZDA,MAZDA6,5804.301281
Kimberly,Alexander,k.l.alexander@rocketmail.com,2015-12-18T02:29:18.686+04:00,GMC,Suburban 2500,14803.16477
Lillian,Watson,l_watson11@hotmail.com,2012-06-09T13:20:26.496+04:00,Jeep,Patriot,33847.84108
Aaron,Richardson,aaronrichardson@yahoo.com,2018-10-13T20:26:49.345+04:00,Hyundai,Azera,9795.340128
